--------- beginning of /dev/log/system
07-11 13:52:26.719 I/ActivityManager(  374): No longer want com.google.android.apps.maps:FriendService (pid 27635): empty #17
07-11 14:43:56.883 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:43:56.890 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:43:56.890 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:43:56.890 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:43:56.898 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:43:56.953 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:43:56.984 I/ActivityManager(  374): Start proc com.google.android.partnersetup for broadcast com.google.android.partnersetup/.RlzPingBroadcastReceiver: pid=5459 uid=10027 gids={50027, 3003, 1028}
07-11 14:43:57.117 D/dalvikvm(27881): GC_CONCURRENT freed 436K, 5% free 9541K/10028K, paused 14ms+7ms, total 286ms
07-11 14:43:57.125 D/dalvikvm(27881): WAIT_FOR_CONCURRENT_GC blocked 26ms
07-11 14:43:57.148 D/dalvikvm( 1908): GC_CONCURRENT freed 365K, 5% free 9435K/9836K, paused 37ms+45ms, total 114ms
07-11 14:43:57.195 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:43:57.250 D/dalvikvm( 4987): GC_FOR_ALLOC freed 510K, 60% free 604K/1476K, paused 8ms, total 11ms
07-11 14:43:57.406 I/ActivityManager(  374): Start proc com.android.musicfx for broadcast com.android.musicfx/.Compatibility$Receiver: pid=5477 uid=10042 gids={50042, 3003, 3002, 1028}
07-11 14:43:57.625 D/dalvikvm( 4987): GC_FOR_ALLOC freed 517K, 60% free 599K/1476K, paused 6ms, total 6ms
07-11 14:43:57.773 D/dalvikvm( 5199): GC_CONCURRENT freed 402K, 30% free 9227K/13064K, paused 2ms+10ms, total 68ms
07-11 14:43:57.812 I/ActivityManager(  374): Start proc com.google.android.apps.plus for broadcast com.google.android.apps.plus/.service.PackagesMediaMonitor: pid=5492 uid=10048 gids={50048, 3003, 3002, 1015, 1006, 1028}
07-11 14:43:57.984 D/dalvikvm( 4987): GC_FOR_ALLOC freed 505K, 59% free 606K/1476K, paused 10ms, total 10ms
07-11 14:43:58.211 D/LightsService(  374): Excessive delay setting light: 59ms
07-11 14:43:58.351 D/dalvikvm( 5492): GC_CONCURRENT freed 330K, 4% free 9061K/9428K, paused 9ms+3ms, total 53ms
07-11 14:43:58.422 D/dalvikvm( 5387): TRACE stop requested, but not running
07-11 14:43:58.445 D/LightsService(  374): Excessive delay setting light: 200ms
07-11 14:43:58.625 I/ipc_pref( 5387): [open:30]	open /data/data/com.qihoo360.mobilesafe/shared_prefs/shield_pref.xml
07-11 14:43:58.625 I/ipc_pref( 5387): 
07-11 14:43:58.656 D/dalvikvm( 5492): GC_CONCURRENT freed 104K, 2% free 9443K/9584K, paused 17ms+11ms, total 66ms
07-11 14:43:58.797 D/dalvikvm( 5492): GC_CONCURRENT freed 139K, 2% free 9728K/9912K, paused 4ms+5ms, total 35ms
07-11 14:43:58.922 D/dalvikvm( 5492): GC_CONCURRENT freed 145K, 2% free 10078K/10276K, paused 4ms+3ms, total 32ms
07-11 14:43:58.922 D/dalvikvm( 5492): WAIT_FOR_CONCURRENT_GC blocked 7ms
07-11 14:43:59.062 D/dalvikvm( 5492): GC_CONCURRENT freed 141K, 2% free 10417K/10624K, paused 3ms+3ms, total 32ms
07-11 14:43:59.062 D/dalvikvm( 5492): WAIT_FOR_CONCURRENT_GC blocked 12ms
07-11 14:43:59.086 I/FWL.PkgCoreBase( 5387): loading /data/data/com.qihoo360.mobilesafe/files/appmgr.apk ...
07-11 14:43:59.094 D/LightsService(  374): Excessive delay setting light: 81ms
07-11 14:43:59.101 I/dex     ( 5387): load /data/data/com.qihoo360.mobilesafe/files/appmgr.apk ...
07-11 14:43:59.109 I/dex     ( 5387): load /data/data/com.qihoo360.mobilesafe/files/appmgr.apk = dalvik.system.DexClassLoader[DexPathList[[zip file "/data/data/com.qihoo360.mobilesafe/files/appmgr.apk"],nativeLibraryDirectories=[/vendor/lib, /system/lib]]]
07-11 14:43:59.109 D/dalvikvm(27881): GC_CONCURRENT freed 419K, 5% free 9529K/10028K, paused 4ms+25ms, total 94ms
07-11 14:43:59.187 D/dalvikvm( 5492): GC_CONCURRENT freed 308K, 4% free 10544K/10936K, paused 3ms+6ms, total 42ms
07-11 14:43:59.187 D/dalvikvm( 5492): WAIT_FOR_CONCURRENT_GC blocked 25ms
07-11 14:43:59.242 D/dalvikvm( 5492): GC_FOR_ALLOC freed 92K, 3% free 10641K/10936K, paused 49ms, total 49ms
07-11 14:43:59.281 D/dalvikvm( 5492): GC_FOR_ALLOC freed 126K, 4% free 10770K/11192K, paused 30ms, total 30ms
07-11 14:43:59.320 D/dalvikvm( 5492): GC_FOR_ALLOC freed 373K, 5% free 10881K/11384K, paused 29ms, total 29ms
07-11 14:43:59.336 D/dalvikvm( 5387): GC_CONCURRENT freed 288K, 4% free 9447K/9772K, paused 71ms+18ms, total 158ms
07-11 14:43:59.336 D/dalvikvm( 5387): WAIT_FOR_CONCURRENT_GC blocked 60ms
07-11 14:43:59.336 D/dalvikvm( 5387): WAIT_FOR_CONCURRENT_GC blocked 60ms
07-11 14:43:59.344 D/dalvikvm( 5387): WAIT_FOR_CONCURRENT_GC blocked 61ms
07-11 14:43:59.344 I/FWL.PkgCoreBase( 5387): loading ok
07-11 14:43:59.367 D/dalvikvm( 5492): GC_FOR_ALLOC freed 126K, 4% free 11009K/11384K, paused 41ms, total 41ms
07-11 14:43:59.406 D/dalvikvm( 5492): GC_FOR_ALLOC freed 369K, 5% free 11118K/11624K, paused 28ms, total 28ms
07-11 14:43:59.500 D/dalvikvm( 5492): GC_CONCURRENT freed 429K, 5% free 11407K/11888K, paused 2ms+13ms, total 49ms
07-11 14:43:59.500 D/dalvikvm( 5492): WAIT_FOR_CONCURRENT_GC blocked 24ms
07-11 14:43:59.625 D/dalvikvm(  374): GC_EXPLICIT freed 4388K, 29% free 22915K/31996K, paused 97ms+328ms, total 5188ms
07-11 14:43:59.758 D/dalvikvm( 4987): GC_FOR_ALLOC freed 513K, 60% free 604K/1476K, paused 10ms, total 10ms
07-11 14:43:59.758 I/QueryController( 4987): Matched selector: UiSelector[TEXT=完成] <<==>> [android.view.accessibility.AccessibilityNodeInfo@2a8f2; boundsInParent: Rect(0, 0 - 359, 96); boundsInScreen: Rect(0, 1088 - 359, 1184); packageName: com.android.packageinstaller; className: android.widget.Button; text: 完成; contentDescription: null; viewIdResName: com.android.packageinstaller:id/done_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:43:59.773 I/QueryController( 4987): Matched selector: UiSelector[TEXT=完成, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@2a8f2; boundsInParent: Rect(0, 0 - 359, 96); boundsInScreen: Rect(0, 1088 - 359, 1184); packageName: com.android.packageinstaller; className: android.widget.Button; text: 完成; contentDescription: null; viewIdResName: com.android.packageinstaller:id/done_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:43:59.773 D/InteractionController( 4987): clickAndWaitForNewWindow(179, 1136)
07-11 14:43:59.898 D/dalvikvm( 5492): GC_CONCURRENT freed 178K, 2% free 12063K/12276K, paused 8ms+6ms, total 128ms
07-11 14:43:59.898 D/dalvikvm( 5492): WAIT_FOR_CONCURRENT_GC blocked 10ms
07-11 14:43:59.906 I/InstallAppProgress( 5199): Finished installing com.moji.mjweather
07-11 14:44:00.054 D/MdmApplication( 3259): [null:-1]->onActivityStarted market.activity.AppDetailActivity , mActivityCount = 2
07-11 14:44:00.070 W/PackageParser(  833): No actions in intent filter at /storage/emulated/0/360Download/Pekall.apk Binary XML file line #685
07-11 14:44:00.078 D/MDM :   ( 3259): [null:-1]->query
07-11 14:44:00.078 D/MDM :   ( 3259): [null:-1]->QUERY_PINCODE_CHECK_RESULT
07-11 14:44:00.078 D/ypy     ( 3259): [null:-1]-> ================ checkDownLoadStatus status is 4
07-11 14:44:00.351 W/PackageParser(  833): No actions in intent filter at /storage/emulated/0/Download/emmp.apk Binary XML file line #687
07-11 14:44:00.406 D/dalvikvm( 1789): GC_CONCURRENT freed 373K, 5% free 10074K/10496K, paused 4ms+148ms, total 690ms
07-11 14:44:00.414 I/ActivityManager(  374): Process com.android.providers.calendar (pid 28798) has died.
07-11 14:44:00.492 I/ActivityManager(  374): Process com.google.android.apps.maps:FriendService (pid 5318) has died.
07-11 14:44:00.554 W/PackageParser(  833): No actions in intent filter at /storage/emulated/0/Download/emmp-1.apk Binary XML file line #687
07-11 14:44:00.594 D/dalvikvm( 5492): GC_CONCURRENT freed 226K, 2% free 12887K/13148K, paused 4ms+7ms, total 212ms
07-11 14:44:00.594 D/dalvikvm( 5492): WAIT_FOR_CONCURRENT_GC blocked 57ms
07-11 14:44:00.656 W/PackageParser(  833): No actions in intent filter at /storage/emulated/0/360Download/Pekall.apk Binary XML file line #685
07-11 14:44:00.719 W/System.err(27801): java.io.FileNotFoundException: /data/data/com.mgyapp.android/files/.cfpaps.i: open failed: ENOENT (No such file or directory)
07-11 14:44:00.898 W/System.err(27801): 	at libcore.io.IoBridge.open(IoBridge.java:409)
07-11 14:44:00.898 W/System.err(27801): 	at java.io.FileInputStream.<init>(FileInputStream.java:78)
07-11 14:44:00.898 W/System.err(27801): 	at android.app.ContextImpl.openFileInput(ContextImpl.java:702)
07-11 14:44:00.898 W/System.err(27801): 	at android.content.ContextWrapper.openFileInput(ContextWrapper.java:173)
07-11 14:44:00.898 W/System.err(27801): 	at com.mgyun.shua.jc.service.f.run(Unknown Source)
07-11 14:44:00.898 W/System.err(27801): 	at com.mgyun.shua.jc.service.CpWorkServer.onHandleIntent(Unknown Source)
07-11 14:44:00.898 W/System.err(27801): 	at android.app.IntentService$ServiceHandler.handleMessage(IntentService.java:65)
07-11 14:44:00.898 W/System.err(27801): 	at android.os.Handler.dispatchMessage(Handler.java:99)
07-11 14:44:00.898 W/System.err(27801): 	at android.os.Looper.loop(Looper.java:137)
07-11 14:44:00.914 W/System.err(27801): 	at android.os.HandlerThread.run(HandlerThread.java:61)
07-11 14:44:00.914 W/System.err(27801): Caused by: libcore.io.ErrnoException: open failed: ENOENT (No such file or directory)
07-11 14:44:00.922 W/System.err(27801): 	at libcore.io.Posix.open(Native Method)
07-11 14:44:00.922 W/System.err(27801): 	at libcore.io.BlockGuardOs.open(BlockGuardOs.java:110)
07-11 14:44:00.922 W/System.err(27801): 	at libcore.io.IoBridge.open(IoBridge.java:393)
07-11 14:44:00.922 W/System.err(27801): 	... 9 more
07-11 14:44:01.062 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:44:01.062 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:44:01.070 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:44:01.086 D/dalvikvm( 5492): GC_CONCURRENT freed 798K, 6% free 13415K/14248K, paused 2ms+7ms, total 90ms
07-11 14:44:01.086 D/dalvikvm( 5492): WAIT_FOR_CONCURRENT_GC blocked 66ms
07-11 14:44:01.086 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:44:01.133 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:44:01.140 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:44:01.140 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:44:01.140 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:44:01.140 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:44:01.140 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:44:01.140 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:44:01.140 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:44:01.148 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:44:01.148 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:44:01.351 D/dalvikvm( 4987): GC_FOR_ALLOC freed 500K, 59% free 616K/1476K, paused 6ms, total 6ms
07-11 14:44:01.359 D/dalvikvm( 5387): GC_CONCURRENT freed 304K, 4% free 9654K/9996K, paused 8ms+63ms, total 414ms
07-11 14:44:01.359 D/dalvikvm( 5387): WAIT_FOR_CONCURRENT_GC blocked 127ms
07-11 14:44:01.359 D/dalvikvm( 5387): WAIT_FOR_CONCURRENT_GC blocked 128ms
07-11 14:44:01.359 D/dalvikvm( 5387): WAIT_FOR_CONCURRENT_GC blocked 128ms
07-11 14:44:01.359 D/dalvikvm( 5387): WAIT_FOR_CONCURRENT_GC blocked 129ms
07-11 14:44:01.383 I/QueryController( 4987): Matched selector: UiSelector[TEXT=已安装] <<==>> [android.view.accessibility.AccessibilityNodeInfo@86874; boundsInParent: Rect(0, 0 - 640, 76); boundsInScreen: Rect(40, 1068 - 680, 1144); packageName: com.pekall.emdm; className: android.widget.Button; text: 已安装; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_app_detail_download_btn; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:44:01.422 W/Settings( 5387): Setting android_id has moved from android.provider.Settings.System to android.provider.Settings.Secure, returning read-only value.
07-11 14:44:01.429 I/AndroidRuntime( 4987): VM exiting with result code 0.
07-11 14:44:01.437 D/gp.PicasaPhotoCP( 5492): set fsid first time:-1
07-11 14:44:01.476 D/dalvikvm(27881): GC_CONCURRENT freed 378K, 5% free 9557K/10060K, paused 5ms+75ms, total 325ms
07-11 14:44:01.476 D/dalvikvm(27881): WAIT_FOR_CONCURRENT_GC blocked 279ms
07-11 14:44:01.476 D/dalvikvm(27881): WAIT_FOR_CONCURRENT_GC blocked 305ms
07-11 14:44:01.562 I/ActivityManager(  374): Process com.android.packageinstaller (pid 5199) has died.
07-11 14:44:01.578 I/ipc_pref( 5387): [open:30]	open /data/data/com.qihoo360.mobilesafe/shared_prefs/adblock_pref.xml
07-11 14:44:01.578 I/ipc_pref( 5387): 
07-11 14:44:01.820 I/ActivityManager(  374): Start proc com.google.android.gms for broadcast com.google.android.gms/.games.receiver.GamesSystemBroadcastReceiver: pid=5536 uid=10009 gids={50009, 3003, 1007, 1028, 1015, 1006, 2001, 3006}
07-11 14:44:01.859 W/GAV2    ( 5415): Thread[GAThread,5,main]: Service unavailable (code=1), will retry.
07-11 14:44:01.859 W/ActivityManager(  374): Unable to start service Intent { act=com.google.android.gms.analytics.service.START (has extras) } U=0: not found
07-11 14:44:01.890 I/GAV2    ( 5415): Thread[GAThread,5,main]: No campaign data found.
07-11 14:44:02.133 D/dalvikvm(27801): GC_CONCURRENT freed 355K, 15% free 9237K/10844K, paused 2ms+6ms, total 52ms
07-11 14:44:02.383 I/ActivityManager(  374): Start proc com.google.android.googlequicksearchbox for broadcast com.google.android.googlequicksearchbox/com.google.android.apps.sidekick.GmmLocationProviderImpl$GmmPackageWatcher: pid=5559 uid=10056 gids={50056, 3003, 1028, 1007, 3002, 1015}
07-11 14:44:02.554 D/dalvikvm( 5492): GC_CONCURRENT freed 1113K, 8% free 13698K/14848K, paused 21ms+3ms, total 237ms
07-11 14:44:02.672 D/dalvikvm(27801): GC_CONCURRENT freed 413K, 14% free 9336K/10844K, paused 5ms+4ms, total 53ms
07-11 14:44:02.672 D/dalvikvm(27801): WAIT_FOR_CONCURRENT_GC blocked 21ms
07-11 14:44:02.844 D/dalvikvm( 5387): GC_CONCURRENT freed 346K, 4% free 9781K/10164K, paused 5ms+107ms, total 177ms
07-11 14:44:03.094 D/dalvikvm(  647): GC_EXPLICIT freed 315K, 7% free 9712K/10372K, paused 10ms+7ms, total 93ms
07-11 14:44:03.203 D/dalvikvm( 5559): GC_CONCURRENT freed 247K, 4% free 9162K/9448K, paused 38ms+44ms, total 128ms
07-11 14:44:03.336 W/GAV2    ( 5559): Thread[main,5,main]: Need to call initialize() and be in fallback mode to start dispatch.
07-11 14:44:03.359 D/dalvikvm( 5536): GC_CONCURRENT freed 204K, 3% free 9108K/9344K, paused 7ms+3ms, total 256ms
07-11 14:44:03.414 D/mdm_log ( 3259): [null:-1]->action is : android.intent.action.PACKAGE_ADDED
07-11 14:44:03.703 I/PeopleDatabaseHelper( 5536): cleanUpNonGplusAccounts done.
07-11 14:44:03.711 D/DB      ( 3259): query: SQLiteQuery: SELECT * FROM app WHERE readStatus =0
07-11 14:44:03.711 D/DB      ( 3259): factory null
07-11 14:44:03.711 D/DB      ( 3259): fillWindow: 0
07-11 14:44:03.711 D/DB      ( 3259): cursor 0
07-11 14:44:03.711 D/DB      ( 3259): query: SQLiteQuery: SELECT * FROM app WHERE type = 51107
07-11 14:44:03.711 D/DB      ( 3259): factory null
07-11 14:44:03.719 D/DB      ( 3259): fillWindow: 0
07-11 14:44:03.719 D/DB      ( 3259): cursor 2
07-11 14:44:03.719 D/DB      ( 3259): query: SQLiteQuery: SELECT * FROM app WHERE type = 51107
07-11 14:44:03.719 E/Mdm     ( 3259): Call Mdm service's recordIconCount function
07-11 14:44:03.719 D/DB      ( 3259): factory null
07-11 14:44:03.719 D/DB      ( 3259): fillWindow: 0
07-11 14:44:03.726 D/DB      ( 3259): cursor 2
07-11 14:44:03.734 D/DB      ( 3259): query: SQLiteQuery: SELECT appUUID, status FROM app WHERE status=4 AND uploadStatus=0
07-11 14:44:03.734 D/DB      ( 3259): factory null
07-11 14:44:03.734 D/DB      ( 3259): fillWindow: 0
07-11 14:44:03.734 D/DB      ( 3259): cursor 1
07-11 14:44:03.734 D/DB      ( 3259): moveToPos: 0
07-11 14:44:03.734 D/DB      ( 3259): onMove: 0
07-11 14:44:03.734 D/DB      ( 3259): moveToPos: 1
07-11 14:44:03.781 E/Mdm     ( 3259): Call Mdm service's upLoadDocStatus function, request id: 3
07-11 14:44:03.781 I/TransInfo( 3259): TransInfo created, id: 18, class: class com.pekall.emdm.transaction.b.q
07-11 14:44:03.781 D/NetworkThread( 3259): [null:-1]->----isRunning-----true
07-11 14:44:03.789 D/NetworkThread( 3259): [null:-1]->----isRunning-----true
07-11 14:44:03.789 D/NetworkThread( 3259): [null:-1]->thread wakeup
07-11 14:44:03.828 D/DB      ( 3259): moveToPos: 0
07-11 14:44:03.828 D/DB      ( 3259): onMove: 0
07-11 14:44:03.844 D/DB      ( 3259): moveToPos: 1
07-11 14:44:03.844 D/DB      ( 3259): onMove: 1
07-11 14:44:03.844 D/DB      ( 3259): moveToPos: 2
07-11 14:44:03.867 D/dalvikvm( 5651): Late-enabling CheckJNI
07-11 14:44:03.883 I/ActivityManager(  374): Start proc com.noshufou.android.su for broadcast com.noshufou.android.su/.InstallReceiver: pid=5651 uid=10077 gids={50077, 3003, 1015, 1028}
07-11 14:44:03.929 D/dalvikvm(  125): GC_EXPLICIT freed 41K, 1% free 8921K/9000K, paused 2ms+8ms, total 52ms
07-11 14:44:03.961 D/dalvikvm(  125): GC_EXPLICIT freed <1K, 1% free 8921K/9000K, paused 2ms+4ms, total 30ms
07-11 14:44:03.969 D/HttpClient( 3259): enable apache.http debug
07-11 14:44:03.969 D/DB      ( 3259): moveToPos: 0
07-11 14:44:03.969 D/DB      ( 3259): onMove: 0
07-11 14:44:03.976 D/DB      ( 3259): moveToPos: 1
07-11 14:44:03.976 D/DB      ( 3259): onMove: 1
07-11 14:44:03.976 D/DB      ( 3259): moveToPos: 2
07-11 14:44:03.984 V/DEBUG   ( 3259): HTTP 0
07-11 14:44:03.992 D/dalvikvm(  125): GC_EXPLICIT freed <1K, 1% free 8921K/9000K, paused 2ms+4ms, total 35ms
07-11 14:44:04.000 D/AndroidRuntime( 5624): 
07-11 14:44:04.000 D/AndroidRuntime( 5624): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<<
07-11 14:44:04.000 D/AndroidRuntime( 5624): CheckJNI is OFF
07-11 14:44:04.047 D/dalvikvm( 5624): Trying to load lib libjavacore.so 0x0
07-11 14:44:04.078 D/dalvikvm( 5624): Added shared lib libjavacore.so 0x0
07-11 14:44:04.086 I/dalvikvm( 5651): Turning on JNI app bug workarounds for target SDK version 11...
07-11 14:44:04.101 D/dalvikvm( 5624): Trying to load lib libnativehelper.so 0x0
07-11 14:44:04.101 D/dalvikvm( 5624): Added shared lib libnativehelper.so 0x0
07-11 14:44:04.328 V/DEBUG   ( 3259): HTTP 1
07-11 14:44:04.336 D/NetworkThread( 3259): [null:-1]->queue is empty, thread wait...
07-11 14:44:04.437 D/MDM :   ( 3259): [null:-1]->Got trans result.
07-11 14:44:04.437 D/MDM :   ( 3259): [null:-1]->Trigger client's callback, request id: 3
07-11 14:44:04.437 D/Mdm     ( 3259): Receive trans result, request id: 3
07-11 14:44:04.539 I/Recovery( 5536): Received: Intent { act=com.google.android.gms.INITIALIZE flg=0x10 pkg=com.google.android.gms cmp=com.google.android.gms/.recovery.AccountRecoveryBackgroundService$Receiver }
07-11 14:44:04.554 I/ActivityManager(  374): Start proc com.google.android.gsf.login for service com.google.android.gms/.recovery.AccountRecoveryBackgroundService: pid=5674 uid=10009 gids={50009, 3003, 1007, 1028, 1015, 1006, 2001, 3006}
07-11 14:44:04.586 D/AndroidRuntime( 5624): Calling main entry com.android.commands.uiautomator.Launcher
07-11 14:44:04.609 D/GCM     (  647): GcmService start Intent { act=com.google.android.gms.INITIALIZE flg=0x10 pkg=com.google.android.gms cmp=com.google.android.gms/.gcm.GcmService } com.google.android.gms.INITIALIZE
07-11 14:44:04.648 E/UiDevice( 5624): Exceuting watcher: ANRWatcher
07-11 14:44:04.648 E/UiDevice( 5624): java.lang.RuntimeException: UiDevice not initialized
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.core.UiDevice.getAutomatorBridge(UiDevice.java:87)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.core.UiDevice.wakeUp(UiDevice.java:719)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.pekall.test.mdmui.util.UiANRWatcher.checkForCondition(UiANRWatcher.java:23)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.core.UiDevice.runWatchers(UiDevice.java:554)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.pekall.test.mdmui.util.UiANRWatcher.run(UiANRWatcher.java:41)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.pekall.test.mdmui.App.<clinit>(App.java:24)
07-11 14:44:04.648 E/UiDevice( 5624): 	at java.lang.Class.newInstanceImpl(Native Method)
07-11 14:44:04.648 E/UiDevice( 5624): 	at java.lang.Class.newInstance(Class.java:1130)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.testrunner.TestCaseCollector.addSingleTestMethod(TestCaseCollector.java:110)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.testrunner.TestCaseCollector.addTestClass(TestCaseCollector.java:86)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.testrunner.TestCaseCollector.addTestClass(TestCaseCollector.java:72)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.testrunner.TestCaseCollector.addTestClasses(TestCaseCollector.java:53)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.testrunner.UiAutomatorTestRunner.start(UiAutomatorTestRunner.java:106)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.uiautomator.testrunner.UiAutomatorTestRunner.run(UiAutomatorTestRunner.java:96)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.commands.uiautomator.RunTestCommand.run(RunTestCommand.java:91)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.commands.uiautomator.Launcher.main(Launcher.java:83)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.internal.os.RuntimeInit.nativeFinishInit(Native Method)
07-11 14:44:04.648 E/UiDevice( 5624): 	at com.android.internal.os.RuntimeInit.main(RuntimeInit.java:235)
07-11 14:44:04.648 E/UiDevice( 5624): 	at dalvik.system.NativeStart.main(Native Method)
07-11 14:44:04.687 D/dalvikvm( 5624): Note: class Landroid/app/ActivityManagerNative; has 163 unimplemented (abstract) methods
07-11 14:44:04.734 I/Recovery( 5536): Received: Intent { act=com.google.android.gms.INITIALIZE flg=0x10 pkg=com.google.android.gms cmp=com.google.android.gms/.recovery.AccountRecoveryBackgroundService$Receiver }
07-11 14:44:04.750 D/GCM     (  647): GcmService start Intent { act=com.google.android.gms.INITIALIZE flg=0x10 pkg=com.google.android.gms cmp=com.google.android.gms/.gcm.GcmService } com.google.android.gms.INITIALIZE
07-11 14:44:04.765 I/ActivityManager(  374): No longer want com.nd.assistance (pid 4613): empty #17
07-11 14:44:05.179 D/dalvikvm(20727): GC_CONCURRENT freed 467K, 7% free 10161K/10920K, paused 4ms+3ms, total 44ms
07-11 14:44:05.179 D/dalvikvm(20727): WAIT_FOR_CONCURRENT_GC blocked 32ms
07-11 14:44:05.445 I/QueryController( 5624): Matched selector: UiSelector[TEXT=已安装, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@86874; boundsInParent: Rect(0, 0 - 640, 76); boundsInScreen: Rect(40, 1068 - 680, 1144); packageName: com.pekall.emdm; className: android.widget.Button; text: 已安装; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_app_detail_download_btn; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:44:05.445 D/InteractionController( 5624): clickAndWaitForNewWindow(360, 1106)
07-11 14:44:05.562 I/ActivityManager(  374): START u0 {act=android.intent.action.VIEW dat=file:///storage/emulated/0/MDM/download/commojimjweather.apk typ=application/vnd.android.package-archive flg=0x10000000 cmp=com.android.packageinstaller/.PackageInstallerActivity} from pid 3259
07-11 14:44:05.734 D/dalvikvm(  374): GC_FOR_ALLOC freed 2086K, 29% free 22818K/31744K, paused 102ms, total 102ms
07-11 14:44:05.765 D/MdmApplication( 3259): [null:-1]->onActivityPaused market.activity.AppDetailActivity , mActivityCount = 3
